global_cycle, cycle, observation, reward, action, explore_on, explored, explore_rate_g, total reward, average reward
3123, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3124, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3125, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3126, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3127, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3128, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3129, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3130, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3131, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3132, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3133, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3134, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3135, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3136, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3137, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3138, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3139, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3140, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3141, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3142, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3143, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3144, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3145, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3146, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3147, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3148, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3149, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3150, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3151, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3152, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3153, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3154, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3155, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3156, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3157, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3158, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3159, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3160, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3161, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3162, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3163, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3164, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3165, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3166, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3167, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3168, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3169, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3170, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3171, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3172, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3173, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3174, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3175, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3176, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3177, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3178, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3179, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3180, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3181, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3182, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3183, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3184, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3185, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3186, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3187, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3188, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3189, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3190, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3191, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3192, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3193, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3194, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3195, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3196, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3197, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3198, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3199, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3200, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3201, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3202, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3203, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3204, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3205, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3206, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3207, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3208, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3209, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3210, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3211, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3212, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3213, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3214, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3215, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3216, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3217, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3218, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3219, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3220, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3221, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3222, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3223, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3224, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3225, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3226, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3227, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3228, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3229, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3230, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3231, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3232, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3233, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3234, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3235, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3236, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3237, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3238, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3239, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3240, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3241, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3242, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3243, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3244, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3245, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3246, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3247, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3248, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3249, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3250, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3251, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3252, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3253, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3254, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3255, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3256, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3257, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3258, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3259, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3260, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3261, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3262, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3263, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3264, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3265, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3266, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3267, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3268, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3269, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3270, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3271, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3272, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3273, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3274, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3275, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3276, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3277, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3278, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3279, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3280, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3281, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3282, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3283, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3284, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3285, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3286, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3287, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3288, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3289, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3290, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3291, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3292, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3293, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3294, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3295, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3296, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3297, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3298, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3299, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3300, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3301, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3302, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3303, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3304, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3305, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3306, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3307, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3308, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3309, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3310, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3311, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3312, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3313, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3314, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3315, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3316, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3317, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3318, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3319, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3320, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3321, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3322, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3323, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3324, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3325, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3326, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3327, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3328, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3329, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3330, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3331, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3332, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3333, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3334, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3335, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3336, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3337, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3338, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3339, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3340, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3341, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3342, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3343, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3344, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3345, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3346, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3347, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3348, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3349, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3350, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3351, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3352, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3353, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3354, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3355, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3356, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3357, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3358, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3359, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3360, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3361, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3362, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3363, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3364, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3365, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3366, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3367, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3368, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3369, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3370, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3371, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3372, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3373, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3374, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3375, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3376, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3377, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3378, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3379, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3380, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3381, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3382, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3383, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3384, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3385, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3386, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3387, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3388, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3389, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3390, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3391, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3392, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3393, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3394, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3395, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3396, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3397, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3398, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3399, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3400, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3401, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3402, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3403, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3404, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3405, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3406, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3407, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3408, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3409, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3410, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3411, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3412, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3413, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3414, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3415, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3416, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3417, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3418, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3419, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3420, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3421, 2, 0, 99, 2, 0, 0, 0.99, 199, 66.3333
3422, 3, 0, 0, 0, endgame, endgame, endgame, 199, 66.3333
3423, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
3424, 2, 0, 99, 3, 0, 0, 0.99, 199, 66.3333
3425, 3, 0, 130, 0, endgame, endgame, endgame, 329, 109.667
3426, 1, 0, 100, 0, 0, 0, 0.99, 100, 50
