cycle, observation, reward, action, explore_on, explored, explore_rate_g, total reward, average reward
222, 9, 0, 2, 1, 1, 0.999, 469, 4.00855
223, 5, 9, 1, 1, 1, 0.999, 478, 4.05085
224, 5, 0, 1, 1, 1, 0.999, 478, 4.01681
225, 5, 0, 1, 1, 1, 0.999, 478, 3.98333
226, 5, 0, 0, 1, 1, 0.999, 478, 3.95041
227, 9, 9, 2, 1, 1, 0.999, 487, 3.9918
228, 5, 9, 2, 1, 1, 0.999, 496, 4.03252
229, 7, 9, 1, 1, 1, 0.999, 505, 4.07258
230, 7, 0, 3, 1, 1, 0.999, 505, 4.04
231, 7, 0, 1, 1, 1, 0.999, 505, 4.00794
232, 7, 0, 1, 1, 1, 0.999, 505, 3.97638
233, 7, 0, 0, 1, 1, 0.999, 505, 3.94531
234, 5, 9, 1, 1, 1, 0.999, 514, 3.9845
235, 5, 0, 2, 1, 1, 0.999, 514, 3.95385
236, 7, 9, 2, 1, 1, 0.999, 523, 3.99237
237, 7, 0, 1, 1, 1, 0.999, 523, 3.96212
238, 7, 0, 1, 1, 1, 0.999, 523, 3.93233
239, 7, 0, 0, 1, 1, 0.999, 523, 3.90299
240, 5, 9, 2, 1, 1, 0.999, 532, 3.94074
241, 7, 9, 2, 1, 1, 0.999, 541, 3.97794
242, 7, 0, 3, 1, 1, 0.999, 541, 3.94891
243, 7, 0, 0, 1, 1, 0.999, 541, 3.92029
244, 5, 9, 1, 1, 1, 0.999, 550, 3.95683
245, 5, 0, 3, 1, 1, 0.999, 550, 3.92857
246, 5, 0, 1, 1, 1, 0.999, 550, 3.90071
247, 5, 0, 1, 1, 1, 0.999, 550, 3.87324
248, 5, 0, 2, 1, 1, 0.999, 550, 3.84615
249, 7, 9, 3, 1, 1, 0.999, 559, 3.88194
250, 7, 0, 2, 1, 1, 0.999, 559, 3.85517
251, 7, 0, 0, 1, 1, 0.999, 559, 3.82877
252, 5, 9, 3, 1, 1, 0.999, 568, 3.86395
253, 5, 0, 1, 1, 1, 0.999, 568, 3.83784
254, 5, 0, 3, 1, 1, 0.999, 568, 3.81208
255, 5, 0, 2, 1, 1, 0.999, 568, 3.78667
256, 7, 9, 3, 1, 1, 0.999, 577, 3.82119
257, 7, 0, 0, 1, 1, 0.999, 577, 3.79605
258, 5, 9, 1, 1, 1, 0.999, 586, 3.83007
259, 5, 0, 0, 1, 1, 0.999, 586, 3.80519
260, 9, 9, 2, 1, 1, 0.999, 595, 3.83871
261, 5, 9, 2, 1, 1, 0.999, 604, 3.87179
262, 7, 9, 0, 1, 1, 0.999, 613, 3.90446
263, 5, 9, 1, 1, 1, 0.999, 622, 3.93671
264, 5, 0, 1, 1, 1, 0.999, 622, 3.91195
265, 5, 0, 1, 1, 1, 0.999, 622, 3.8875
266, 5, 0, 1, 1, 1, 0.999, 622, 3.86335
267, 5, 0, 0, 1, 1, 0.999, 622, 3.83951
268, 9, 9, 2, 1, 1, 0.999, 631, 3.87117
269, 5, 9, 0, 1, 1, 0.999, 640, 3.90244
270, 9, 9, 3, 1, 1, 0.999, 649, 3.93333
271, 9, 0, 2, 1, 1, 0.999, 649, 3.90964
272, 5, 9, 3, 1, 1, 0.999, 658, 3.94012
273, 5, 0, 0, 1, 1, 0.999, 658, 3.91667
274, 9, 9, 3, 1, 1, 0.999, 667, 3.94675
275, 9, 0, 2, 1, 1, 0.999, 667, 3.92353
276, 5, 9, 0, 1, 1, 0.999, 676, 3.95322
277, 9, 9, 0, 1, 1, 0.999, 685, 3.98256
278, 9, 0, 0, 1, 1, 0.999, 685, 3.95954
279, 9, 0, 2, 1, 1, 0.999, 685, 3.93678
280, 5, 9, 2, 1, 1, 0.999, 694, 3.96571
281, 7, 9, 1, 1, 1, 0.999, 703, 3.99432
282, 7, 0, 0, 1, 1, 0.999, 703, 3.97175
283, 5, 9, 0, 1, 1, 0.999, 712, 4
284, 9, 9, 2, 1, 1, 0.999, 721, 4.02793
285, 5, 9, 3, 1, 1, 0.999, 730, 4.05556
286, 5, 0, 0, 1, 1, 0.999, 730, 4.03315
287, 9, 9, 3, 1, 1, 0.999, 739, 4.06044
288, 9, 0, 0, 1, 1, 0.999, 739, 4.03825
289, 9, 0, 0, 1, 1, 0.999, 739, 4.0163
290, 9, 0, 0, 1, 1, 0.999, 739, 3.99459
291, 9, 0, 1, 1, 1, 0.999, 739, 3.97312
292, 10, 9, 3, 1, 1, 0.999, 748, 4
293, 9, 9, 0, 1, 1, 0.999, 757, 4.0266
294, 9, 0, 0, 1, 1, 0.999, 757, 4.00529
295, 9, 0, 0, 1, 1, 0.999, 757, 3.98421
296, 9, 0, 1, 1, 1, 0.999, 757, 3.96335
297, 10, 9, 2, 1, 1, 0.999, 766, 3.98958
298, 10, 0, 2, 1, 1, 0.999, 766, 3.96891
299, 10, 0, 3, 1, 1, 0.999, 766, 3.94845
300, 9, 9, 0, 1, 1, 0.999, 775, 3.97436
301, 9, 0, 2, 1, 1, 0.999, 775, 3.95408
302, 5, 9, 0, 1, 1, 0.999, 784, 3.9797
303, 9, 9, 3, 1, 1, 0.999, 793, 4.00505
304, 9, 0, 2, 1, 1, 0.999, 793, 3.98492
305, 5, 9, 0, 1, 1, 0.999, 802, 4.01
306, 9, 9, 2, 1, 1, 0.999, 811, 4.03483
307, 5, 9, 3, 1, 1, 0.999, 820, 4.05941
308, 5, 0, 0, 1, 1, 0.999, 820, 4.03941
309, 9, 9, 0, 1, 1, 0.999, 829, 4.06373
310, 9, 0, 2, 1, 1, 0.999, 829, 4.0439
311, 5, 9, 2, 1, 1, 0.999, 838, 4.06796
312, 7, 9, 2, 1, 1, 0.999, 847, 4.09179
313, 7, 0, 1, 1, 1, 0.999, 847, 4.07212
314, 7, 0, 0, 1, 1, 0.999, 847, 4.05263
315, 5, 9, 1, 1, 1, 0.999, 856, 4.07619
316, 5, 0, 3, 1, 1, 0.999, 856, 4.05687
317, 5, 0, 0, 1, 1, 0.999, 856, 4.03774
318, 9, 9, 2, 1, 1, 0.999, 865, 4.06103
319, 5, 9, 3, 1, 1, 0.999, 874, 4.08411
320, 5, 0, 3, 1, 1, 0.999, 874, 4.06512
321, 5, 0, 2, 1, 1, 0.999, 874, 4.0463
322, 7, 9, 2, 1, 1, 0.999, 883, 4.06912
323, 7, 0, 2, 1, 1, 0.999, 883, 4.05046
324, 7, 0, 1, 1, 1, 0.999, 883, 4.03196
325, 7, 0, 2, 1, 1, 0.999, 883, 4.01364
326, 7, 0, 2, 1, 1, 0.999, 883, 3.99548
327, 7, 0, 2, 1, 1, 0.999, 883, 3.97748
328, 7, 0, 1, 1, 1, 0.999, 883, 3.95964
329, 7, 0, 1, 1, 1, 0.999, 883, 3.94196
330, 7, 0, 0, 1, 1, 0.999, 883, 3.92444
331, 5, 9, 1, 1, 1, 0.999, 892, 3.9469
332, 5, 0, 2, 1, 1, 0.999, 892, 3.92952
333, 7, 9, 2, 1, 1, 0.999, 901, 3.95175
334, 7, 0, 1, 1, 1, 0.999, 901, 3.9345
335, 7, 0, 0, 1, 1, 0.999, 901, 3.91739
336, 5, 9, 1, 1, 1, 0.999, 910, 3.93939
337, 5, 0, 1, 1, 1, 0.999, 910, 3.92241
338, 5, 0, 0, 1, 1, 0.999, 910, 3.90558
339, 9, 9, 1, 1, 1, 0.999, 919, 3.92735
340, 10, 9, 1, 1, 1, 0.999, 928, 3.94894
341, 8, 9, 0, 1, 1, 0.999, 937, 3.97034
342, 8, 0, 0, 1, 1, 0.999, 937, 3.95359
343, 8, 0, 0, 1, 1, 0.999, 937, 3.93697
344, 8, 0, 2, 1, 1, 0.999, 937, 3.9205
345, 5, 9, 3, 1, 1, 0.999, 946, 3.94167
346, 5, 0, 3, 1, 1, 0.999, 946, 3.92531
347, 5, 0, 1, 1, 1, 0.999, 946, 3.90909
348, 5, 0, 2, 1, 1, 0.999, 946, 3.893
349, 7, 20, 1, -1, -1, -1, 966, 3.97531
350, 10, 10, 2, 1, 1, 0.999, 10, 5
